Column1,Formality,Activeness,Valence,Exchange,Equality,rel
曾祖母-曾孙子,-0.498756966,-0.454163839,0.743080973,-0.697580389,-0.575280856,曾祖母-曾孙子
曾祖父-曾孙女,-0.501574348,-0.639870042,0.830683318,0.043269465,0.367841494,曾祖父-曾孙女
曾祖父-曾孙子,-0.908477334,-0.133222121,0.779174122,0.15937765,0.314296983,曾祖父-曾孙子
母-女,-0.920156972,-2.386469397,1.032922828,-1.60721454,0.149279405,母-女
母-子,0.04124926,-1.161932047,0.927279394,0.258215935,-0.087605254,母-子
父-女,0.304505567,-1.37765908,0.80294279,0.680000468,0.429062193,父女-
父-子,-0.612665272,-1.609562269,0.651519515,0.292154442,0.315944095,父-子
祖先-后代,-1.283523851,1.049912296,1.076004803,-1.515972424,-0.500471794,祖先-后代
祖母-孙女,-0.99113524,-0.489791355,1.24889476,1.398042562,-0.834166158,祖母-孙女
祖母-孙子,-0.300328191,-0.154854393,1.087230734,0.084426659,-0.480315792,祖母-孙子
祖父-孙女,-0.999007229,1.159494531,1.351734225,0.068835119,0.04949186,祖父-孙女
祖父-孙子,-1.371108371,-0.467763323,0.170751863,-0.097352672,-0.796070397,祖父-孙子
继兄-继妹,2.208782945,0.666434395,-0.542858361,0.014290416,0.989939189,继兄-继妹
继兄-继弟,0.58018593,-1.095674548,-1.401108711,1.434783219,-0.173783957,继兄-继弟
继外祖母-继外孙女,-2.143812545,2.794969389,-0.311787331,2.911654733,2.399294373,继外祖母-继外孙女
继外祖父-继外孙子,0.392684875,0.76778094,0.348468824,0.108969439,0.911859627,继外祖父-继外孙子
继姐-继妹,1.040831376,-0.164245049,-0.959332533,0.24977233,-0.503575508,继姐-继妹
继姐-继弟,0.809612911,-0.394115803,-0.654430958,-1.035477488,1.686080975,继姐-继弟
继母-继女,0.527041258,-0.40160414,0.342081162,0.652242367,0.701959196,继母-继女
继母-继子,2.010573064,0.252225852,0.567797818,-0.114015655,0.69056855,继母-继子
继父-继女,1.229526561,-0.285721278,0.732232879,-0.121464507,0.793252668,继父-继女
继父-继子,0.490038748,-0.028448151,1.069576276,-0.663377464,1.523034931,继父-继子
继祖母-继孙女,0.520436684,1.740018962,0.529893443,0.575826558,-0.73545691,继祖母-继孙女
继祖母-继孙子,0.918994683,0.629397366,1.303649864,0.205015787,0.868125243,继祖母-继孙子
继祖父-继孙女,1.667427428,1.085628912,1.364963679,0.578336899,-0.684068555,继祖父-继孙女
继祖父-继孙子,-0.025655328,-0.743021084,2.083735434,0.331504525,-1.862920201,继祖父-继孙子
舅公-甥孙,-0.696991369,-0.348582437,0.381952458,-1.730322524,1.922918723,舅公-甥孙
舅母-外甥,-0.451196439,-0.829606376,0.221169098,-0.149384235,0.738688976,舅母-外甥
舅母-外甥女,-0.689419442,1.017257777,-0.251644743,-0.081144827,-0.39881116,舅母-外甥女
舅父-外甥,-0.177444753,0.160536748,0.814195543,0.224707235,0.338877765,舅父-外甥
舅父-外甥女,0.142687735,-0.270032574,0.807495623,0.117452867,-0.775822845,舅父-外甥女
舅父-甥女婿,1.04397991,-0.932381061,1.049411341,0.64434228,-1.599298492,舅父-甥女婿
舅表兄-舅表弟,-0.289024172,-0.432136857,-1.429172761,-0.048250682,0.378168458,舅表兄-舅表弟
舅表姐-舅表妹,-0.378897524,0.404675286,-0.983320406,0.815987769,-0.291595719,舅表姐-舅表妹
舅表姐-舅表弟,0.325848399,-0.116629126,0.142243862,1.607158797,-1.55339711,舅表姐-舅表弟
表兄-表弟,-0.26779591,-1.001044056,-1.532796083,0.604437334,-0.467152616,表兄-表弟
表姐-表妹,-1.573662903,-0.012582228,-1.56754084,-1.07857666,-1.19460669,表姐-表妹
表姐-表弟,-0.475015995,-1.253943871,-0.64665529,-1.365488411,0.356776836,表姐-表弟
表嫂-表小叔,0.389610145,-1.337135751,-0.927738602,1.145326314,0.012890969,表嫂-表小叔
高祖母-玄孙,0.323925356,1.439975975,2.083940349,0.838618816,-0.428679815,高祖母-玄孙
高祖父-玄孙,-1.101229134,0.519489516,0.384116898,0.649647895,-1.187457038,高祖父-玄孙
