关系,互动强度,交配,亲密性,代沟评估,依恋,信任评估,信息传递,共有式分享,关系效价,具体性,冲突,可见性,同步性,品德评估,商品交换,对相关人员的重要性,对社会的重要性,平等性,强迫,持久性,服务交换,期待互惠性,正式性,爱的表达,独特性,理性,社会情感性,积极性,空间距离,职业性,联盟/联合组织,谈判,金钱交换,k3
干妈-干女儿,0.9029862415915054,0.2867341054717306,0.803746573817967,1.2881006604461704,1.635822569962306,0.4194857818781021,-0.5874547073466212,0.3924921239969063,1.9983368654922364,1.200733878798036,-0.9365309481572036,2.170927855084766,0.185468301608838,-0.7084671317788054,-1.435157021873346,0.1956345072589678,0.2724726396617378,-1.3466509285776684,-1.437128875730471,0.304249842491519,-1.0977242336133064,-0.8983819592720534,1.5326729990098724,0.3521859975195118,0.9303068508380749,-0.2406287673849643,0.3488020976051081,0.5634402966499749,-1.1760121655007707,-1.362962665829594,-2.219733431803519,-1.5348099608794423,-1.1015140179821838,0
干爹-干儿子,0.2400117813684919,-1.17314702483622,1.0991651105221822,1.115249972237053,-2.753618015522965,0.0099800185072386,0.971913804164544,0.7191189338452588,0.6596357862370394,-2.1033673839576594,-1.568120417493874,0.7277113069889738,-2.086786944795973,-0.5137629988900725,-1.7962602575386115,-0.0720921004219322,-0.6237953891777319,1.3545343126462814,-1.437128875730471,-0.2081855629029967,-1.8466321911744144,1.1126057391616626,1.230867234782001,0.5333060176138653,0.660468284000639,-1.5225925308219148,0.217571209770197,1.4452533364711644,-2.1153861068365813,-1.362962665829594,-2.219733431803519,-1.5348099608794423,-1.2211918039787315,0
异父异母兄-异父异母妹,0.1797413758936725,-0.9541648552900271,-2.504941037269245,-1.3478723347428727,-1.0195180311337226,-1.4525405649601306,-0.8102216375625019,-0.5873883055481511,0.0646575287902852,-0.2371620411049056,-0.2762328665779568,0.9081133755009478,0.0339846185151839,0.508433698775775,-2.006903811676683,1.5008017197033554,-0.7888973944902657,1.4376477046839415,-0.4162403298751551,0.4964131195144624,-1.6594052017841374,-0.8704515745715852,-1.183578879040968,-1.5495742134711996,1.2271292743592543,0.1332773302841462,0.2503789317289248,0.4899558766648757,1.2193913849055469,-0.7601087191444342,0.0751184738144178,-0.2230774695699428,-1.7298223944640605,0
异父异母姐-异父异母妹,-0.6640443007537992,2.817194731338845,-0.6142624023622667,-1.419893454830005,-1.7239961497918526,0.1269816651846282,-1.701289358426025,-1.8285701829718903,-0.009714753390559,0.5888632745840182,-0.0178553563947733,1.088515444012922,0.2864574236712741,-0.2217067995569732,-1.4953408944842237,0.5302927668600929,-1.1898594073921338,1.1883075285709614,-0.6204180390462183,-0.0160222858800533,-1.5791650634740186,0.945023430958853,1.5326729990098724,-2.0023742637070834,-0.5268214100840792,1.7357320345803344,-2.93197009826767,0.12253377673938,0.2330487465029455,-0.5282418165732189,1.5448550875247815,-0.8935185206836871,-1.3408695899752796,1
异父异母姐-异父异母弟,-0.6339090980163895,-1.0271589118054247,-1.500518012474913,-1.391085006795152,0.6874866409994386,0.0684808418459334,0.2664851918142549,0.3924921239969063,0.4737050807849287,-0.7266585244761198,-1.3958687440384183,0.2165721128717141,1.6498105715141609,0.8491659313310576,-0.6527666779319373,-0.0051604485017071,-0.9068273982849328,1.7285445768157517,-1.1989215483642306,0.720603609374563,-0.3220695632821591,-2.0155973472907847,-1.938093289610646,0.2616259874723351,1.4430001278292033,-1.4958849524169784,-0.1433137317758086,-0.1714039032010165,-0.4714817094989125,-1.0847223827441357,-0.1827300549066986,-1.418211517207487,-0.9519167854864988,0
弟媳-伯,-0.2421514624300633,-1.17314702483622,-0.2597601583172083,0.7983570438536707,-0.4776117860120841,-0.3995257448636247,0.1551017267063145,-0.5220629435784807,0.4365189396945066,0.8336115162696253,0.1543963170606823,0.9682473983382726,0.7409084729522363,-0.8058191982231718,1.5740366086705335,-0.4736820119432822,0.1781286366260042,-0.8064138803328784,-0.5523588026558638,0.0480321397942611,-0.6162834037525943,0.2746941981476142,-0.0266567828341285,-1.0364008232038648,-0.5807891234515665,-0.8816106491034396,-0.8978913368265478,-0.6857948430967105,-0.6123878006992842,0.9557063598825588,-0.5179331422441501,0.9720565780676012,0.8731694509608562,1
族伯叔-族侄,-1.3270187609768127,2.476555800933657,0.3310769150912224,1.0000161800976413,1.4732506964258143,-1.2185372716053515,-2.740868366100135,1.3723725535419635,-0.0840870355714033,-0.5125038130012136,-0.5920276012462922,0.9081133755009478,-1.2283794072652665,0.6544617984423247,-1.6157086397059788,-0.5406136638635073,-1.8030954271244024,-1.4297643206153283,0.468529743199452,1.5853383559778085,1.3094799156902543,1.5036311249682186,-1.6865884860874198,1.0162927378654747,-2.9014007982535155,-1.5225925308219148,0.8081102050272971,1.298284496500966,-0.3305756182985409,-0.7137353386301911,1.596424793269005,-1.2433138516995537,-0.981836231985636,0
族姐-族妹,1.44541989086488,-1.17314702483622,0.9809976958404962,-1.5927441430391227,0.6603913287433566,-3.675571851830532,0.3778686569221953,0.2618414000575653,0.4365189396945066,-1.7362450214292489,-1.568120417493874,0.6675772841516492,-2.086786944795973,-2.266100194888668,-1.6157086397059788,-0.4067503600230572,-0.1992473755169304,0.8142972644014915,-1.437128875730471,-0.0800767115543677,-1.4186847868537813,1.2243272779635357,1.4823720383052272,-0.6741607830151579,-1.7680788175362847,-1.2021015899626772,0.4144175415225637,0.3429870366946774,-2.1153861068365813,-1.362962665829594,-0.2085149077788103,-1.5348099608794423,-0.0842528370115268,0
曾祖母-曾孙女,1.6412987086580433,0.4083908663307266,1.896795159623564,0.9640056200540752,1.8119420996268385,0.6681142810675549,0.1365378158549912,1.3397098725571286,-0.2142385293878808,0.8336115162696253,0.1543963170606823,0.5172422270583374,1.0438758391395444,1.3602642801639813,-0.5323989327101821,1.5008017197033554,1.2277056703985412,-0.1726742660457209,0.638677834175338,1.4091886853734437,0.2396114048886717,2.3974034353832034,1.3566196365436145,1.5445594631406725,-1.741094960852541,0.2134000654989556,1.0213603977590278,-0.4837126881376878,1.0315165966383848,1.2571333332251389,-1.407510566332002,-0.3834003296188816,-1.6101446084675124,2
曾祖母-曾孙子,0.5413638087425889,0.3597281619871282,0.9514558421700746,1.0144204041150675,0.3352475816703735,-0.0777712165008035,1.0461694475698375,1.5030232774813048,0.027471387699863,-0.7266585244761198,-0.649444825731444,0.4571082042210128,0.13497374057762,0.1677014662204925,0.0092559207877162,-0.5406136638635073,0.5319186480100054,0.2325035201378715,0.8768851615415784,0.5284403323516197,-0.0011090100416843,0.051251120543868,0.878760509849485,0.77479937773967,-2.415691377946131,-0.908318227508376,0.6440715952336582,0.6001825066425244,-0.6358721492326794,-0.1572547724592744,0.2556124439191994,-0.3688255241598872,-0.892077892488225,2
曾祖父-曾孙女,0.0592005649440337,0.1042489641832368,0.0947420857278501,1.1296541962544795,0.4707241429507831,0.229358106027344,0.0622821724496976,-0.2607614956997987,0.4551120102397176,-0.7266585244761198,-0.67815343797402,0.3368401585463634,0.5010593080539507,1.068208080830882,0.2198994749257878,0.8147522875210491,1.2159126700190743,-0.8999164463752459,0.5706185977849836,0.6885763965374059,1.1356262826849972,0.4283113140001898,0.501503304564646,0.6691460326846305,0.7144359973681261,-0.3608128702071784,0.4144175415225637,0.6552958216313488,0.4913765803702935,0.3760391034545207,0.9002337657219905,-0.4854239678318427,-0.2039306230080747,2
曾祖父-曾孙子,-0.5917198141840158,0.6955008219579567,-0.0943257777628478,1.2131986955555532,0.3894382061825374,0.7236900632393151,0.942211546802426,1.1372012504511504,1.090995022885936,-0.3411800438212888,-0.7527958298047175,0.9802742029057376,0.0945780917526457,0.5376393187090847,-0.363884089399725,0.7177013922367227,0.8385366578761398,-1.2136695013174124,-0.4842995662655094,0.9447940992346636,0.1433232389165294,-0.4961844195853101,0.8284595491448398,0.4487833415698333,0.6820553693476341,-0.4329233319005069,0.4406637190895463,0.7691966726082522,-0.2648194424050342,-0.2685508856934577,1.0807277358267722,-0.5087436565662338,1.1364605801532617,2
母女,1.1561219445857471,1.2989183558185762,1.9617872376984908,0.2970900480472295,2.1560525652790785,1.776704883335821,0.8828070320781914,0.8105744406027978,0.1687787238434676,0.2217409120556076,0.9926877945439,0.4270411928023505,1.5892170982766989,1.4722191565750034,-1.435157021873346,1.868925805264593,1.9329270930906504,0.2657488769529353,1.3805235108302008,1.4444186194943165,2.0476891881433463,1.8052792797332764,0.4562324399304654,1.1249647499220865,-1.3471306532698848,0.6674288983828756,0.9787103592126812,1.4305564524741443,2.121190368587925,-0.2314521812820634,-0.7242119652210433,0.610601402684539,-1.2929984755766604,2
母子,0.4931474843627336,0.89988418020107,0.0829253442596813,0.516034253112112,1.3323550726941886,1.027894344600528,0.259059627473726,0.248776327663631,0.1390298109711294,-0.6593527580125778,0.9008202353676568,0.390960779099956,0.0541824429276711,0.6739322117311982,-0.4240679620106026,0.209020837643013,1.1687406685012076,0.1826354849152754,1.2035694962152792,0.9191723289649376,-0.2097333696479928,-0.6414224200277452,-0.7811711934038065,0.8351727177711211,-1.0664985437589511,-0.7320482100357953,0.2438173873371796,0.0049587047632218,0.3269861406365266,-0.287100237899155,0.5547167372356944,0.797158912559668,0.5261038715708676,2
父女,-0.0975024892904968,-0.1123000701457757,-0.117959260699185,1.0749181449882588,0.5520100797190289,0.3843852878748855,0.259059627473726,0.2879715448454338,0.7191336119817147,-1.1733240655523527,0.3725817701042593,-0.7275320456742833,0.7813041217772105,0.829695518042184,0.7314623921182474,1.1460639645261632,1.1876094691083543,-1.1056220916684545,0.9177207033757911,0.8679287884254862,0.164720609132561,-0.1051590337787541,0.1946674442663102,-0.0462780466880658,0.6712618266741365,-0.3154099869187863,0.0469710555848128,0.3576839206916974,1.3415099972792022,0.7516634856198896,1.534541146375937,0.7738392238252769,0.035424948985021,2
父子,1.1079056202058917,1.1821278653939402,0.5201447785819204,1.0057778697046118,1.1481069493528313,1.027894344600528,0.9867649328456028,1.0980060332693475,0.6447613298008704,-0.5247412250854939,0.4299989945894112,1.112569053147852,0.7207106485397492,0.8491659313310576,0.5870210978521413,1.333472589902793,1.5366822803405686,-0.0999500480127684,0.6727074523705152,1.1753900316621957,-0.081349148351803,-0.5743894967466215,0.0236441778705166,0.8713967217899915,0.8655455947970901,-0.6999991159498716,1.0705719806971197,0.8279842085963313,1.2757538213856958,-0.4354950555447328,1.0704137946779273,0.4940029590125834,0.3585549711757002,2
祖先-后代,0.9331214443289152,1.1626627836565009,1.7490858912714562,1.0720373001847736,-0.9382320943654768,0.3609849585394073,-1.1072442111836762,0.9477577007391056,0.9571249149604164,0.6806438652161209,-0.1039811931225011,1.4793865924555325,-1.65758317603062,-0.0270026666682403,0.039347857093155,-1.4107251388264324,-0.4351073831062645,-1.6998828447377234,-0.5523588026558638,1.0088485249089785,0.2128646921186322,1.3919095861663455,-1.8626418485536784,0.8653593877868467,1.11919384762428,2.4835442299185555,0.4800329854400192,1.0043468165605696,-1.4343399993681187,-0.5282418165732189,1.7253490576295634,-0.8643689097656981,-1.4605473759718277,0
