"","V1","V2","V3","V4","V5"
"弟媳-伯",0.0307461520801962,-0.555417479005134,-0.2523194459097,0.123968376225189,1.23291959512189
"族伯叔-族侄",-1.00006677486551,-1.07182751777797,2.54380839207854,0.696974843914676,-0.674223569307009
"族姐-族妹",-0.00631044817560304,-0.943447204366896,-1.17971310591784,1.40783990904801,-2.4129593162216
"曾祖母-曾孙女",-1.25858252887895,1.22855985604818,0.91053667371739,2.14644016845043,0.0199594571990548
"曾祖母-曾孙子",-0.568828208646059,0.337728493715189,0.692477413996091,0.764022121407172,-0.483616785721484
"曾祖父-曾孙女",-0.491730049954192,0.613747593438863,0.825209178361997,-0.00522459860934543,0.34632165376386
"曾祖父-曾孙子",-0.833166795713176,0.0981519219582659,0.771464546445864,-0.17091377202087,0.267650641424288
"母女",-1.15273357072333,2.19365066421388,1.01120069753562,1.69857021842011,0.20473892974792
"母子",-0.100517340319549,1.09046093307989,0.927958205148785,-0.172115494452371,-0.015860837709068
"父女",0.245971255005981,1.41362858556498,0.820836766520515,-0.611011122061681,0.407719571270883
"父子",-0.708837076325383,1.54217568911704,0.657779315057135,-0.270519445574326,0.289767509302415
"祖先-后代",-1.20986512602035,-1.20942668416312,1.01450741051579,1.50457244937446,-0.420046458370012
"祖母-孙女",-1.0453968802044,0.385411475896043,1.25872553664669,-1.36925649471022,-0.837561088204982
"祖母-孙子",-0.346571289867155,0.0746995989059118,1.0647766234831,0.00786727108433792,-0.391470199883774
"祖父-孙女",-0.912778723298857,-1.25939047765479,1.32730519954416,-0.054587101021341,0.119347856887438
"祖父-孙子",-1.37774572758874,0.335431036513684,0.144248553486473,0.0730682240899141,-0.805381283577091
"继兄-继妹",2.34137853541726,-0.424412955685844,-0.527048169616793,0.0403653963112242,1.0146253675141
"继兄-继弟",0.509338672109714,1.14432342311905,-1.35313344889263,-1.37391017584103,-0.121097445200382
"继外祖母-继外孙女",-1.86398405000509,-2.87321804087376,-0.243583640603004,-2.96352823164755,2.44100038180646
"继外祖父-继外孙子",0.474762976061761,-0.725949620713766,0.358464892792481,-0.0761617315168033,0.966871597974605
"继姐-继妹",1.06524059784794,0.264296470907166,-0.947388366219219,-0.215185754755049,-0.48410779114852
"继母-继女",0.550026413528908,0.477985686148431,0.379714262085194,-0.620760047087696,0.695825903932991
"继母-继子",2.06962120745397,-0.0673230079161658,0.577532583381842,0.163329179201962,0.714298011901439
"继父-继女",1.31674785338868,0.455217503990617,0.756515454420985,0.129775393949095,0.720197737137363
"继祖母-继孙女",0.719769370263349,-1.6391418128054,0.522562510719001,-0.579118434350937,-0.749058353479897
"继祖母-继孙子",0.945864999937221,-0.585129859719517,1.33520698884184,-0.110823291023102,0.990028494201553
"继祖父-继孙女",1.79964280566499,-0.901642865709715,1.35862545726565,-0.530421073851558,-0.698481023633645
"继祖父-继孙子",-0.0381947836218616,0.75696285215331,2.08011698678681,-0.333060013808733,-1.96907541109043
"舅公-甥孙",-0.65587199210678,0.284400454035734,0.36262885250547,1.74425059935159,1.95175701229163
"舅母-外甥",-0.444745584974482,0.81312444110731,0.237965311411957,0.173570686367468,0.74563171324631
"舅母-外甥女",-0.565640314494948,-1.05926882985692,-0.263330973760905,0.0696841235658577,-0.360287057627217
"舅父-外甥",-0.103336290541832,-0.142787949916976,0.789045580899214,-0.197240840613122,0.32320232884856
"舅父-外甥女",0.161342846065715,0.290082297472301,0.796665678477313,-0.0959067898229373,-0.785426720755835
"舅父-甥女婿",0.980501338300132,1.0099065343124,1.04520337655221,-0.58040610384647,-1.61978184457845
"舅表兄弟",-0.324393970180679,0.377861344460222,-1.42853007674159,0.100041857793191,0.469268553212722
"舅表姐妹",-0.32014244383434,-0.421719883480973,-0.974591593816001,-0.813460852529869,-0.260828534522428
"舅表姐弟",0.264548922953337,0.101743438286341,0.139506323959414,-1.50714173265885,-1.49829633136999
"表兄弟",-0.342903064772635,0.95201945148918,-1.51158875835281,-0.565474190413336,-0.393939388085057
"表姐妹",-1.51108607275859,-0.11209828576948,-1.58633569098036,0.993715321713806,-1.19527505115828
"表姐弟",-0.528706012444137,1.18507127583532,-0.683582164093368,1.37919691568093,0.379583904503377
"表嫂-表小叔",0.332100044384563,1.38971127310418,-0.898339323465676,-1.08386705295134,0.0203582926306524
"高祖母-玄孙",0.479622159673309,-1.36497757600143,2.07896310540252,-0.799729204714002,-0.440358975290195
"高祖父-玄孙",-0.999760745382467,-0.569905940610068,0.395796209117507,-0.698645728790158,-1.2383019827314
