"","V1","V2","V3","V4","V5"
"同父异母兄-同父异母弟",0.465310049394782,-0.938309302547059,1.22122898447988,0.965778506221905,-0.301103278541245
"同父异母姐-同父异母妹",1.38150708606043,-0.297289248688244,0.366230621994452,-0.0787026935445284,-0.0413130412004525
"堂伯-堂侄",-0.222898932789214,0.100865752512382,0.693989408048382,0.0821966649836363,0.0246612382841057
"堂兄妹",-0.08250440436484,-1.91622267635248,1.03114358226777,1.28716474572166,0.994888061327185
"堂兄弟",0.662228148308981,-0.104183189372343,0.917653141894592,-0.960900425869998,0.60535136125875
"堂姐夫-堂内弟",-0.0419993198629632,1.03761065029243,0.461714254942115,0.088482195682757,0.771779126656568
"堂姐妹",-0.69286709266926,-0.188830528534444,1.44103949871809,0.380409377118368,0.386093485957039
"堂姐弟",0.305622275794804,-1.13953044146373,0.680995839348347,-0.540202505102274,-0.87443789293452
"堂祖母-堂侄孙",-0.281548377983901,-0.184566500261403,-0.889460371829221,-0.409304712665384,-0.733004665888637
"堂祖父-堂侄孙",-2.27052503227222,-0.681343177883167,0.717625947045015,-1.66932925700114,-2.93732876052891
"外曾祖母-外曾孙",-1.27785912796553,-0.782204118535606,-0.0777435263090918,0.0163860252335403,0.322219055812852
"外曾祖父-外曾孙",0.805497893052406,-0.327020517417956,-1.58425138584179,1.04908309178466,1.31451008703727
"外祖母-外孙女",-0.639592007545896,-1.76601645072927,0.384632235143263,0.954580912278722,0.6761516504385
"外祖母-外孙子",-0.731652154554696,-1.05321003072929,-1.18646129334039,1.21515846756516,0.282883855083555
"外祖父-外孙女",-0.523549801528379,0.29488278289723,0.0389413151592484,-0.0110262048225507,0.0233198238129057
"外祖父-外孙子",-1.24018983544178,1.11639616468422,0.552326846128078,2.57603234716849,-0.578951549400574
"夫妻",0.0230620204499303,-1.77647877400256,0.768053272369912,-0.426806287099745,-0.450441350628055
"妹夫-妻姐",2.88021880768393,2.67377558973354,2.07718757884834,0.170180294488556,0.116601918134782
"姐夫-妹夫",0.537924010783791,1.49776337357989,1.54155734121545,-0.649728634950344,-0.0214684796575128
"姐夫-妻弟",0.0582053338072222,0.338513934093299,1.09716446398385,0.0399325806934869,0.508444285888329
"姐妹",-0.194225684030071,-1.20510870006022,0.548202905309932,0.242788419297478,0.277940972460606
"姐弟",0.391957924400536,-1.2030858720953,0.290922756088028,0.187819926043325,0.619472796119646
"姑-嫂",-0.408945222773022,0.662649031468783,1.28748038559249,-1.74051135742475,1.75830249776496
"姑母-侄女",-1.65449395005904,0.348727696326236,-0.232283376002377,-1.20600167503986,1.42608074382245
"姑母-侄子",-0.738341724348547,-0.268746834598451,0.0954073709184038,-1.85308235562714,-0.490065909789434
"姑父-侄子",0.502364320022218,0.969514993200574,0.108118769434904,-0.144539661995093,-0.798942027379439
"姑表兄妹",0.704788806511887,1.15990045933524,0.263844522076853,-0.586882633446316,0.294278305357568
"姑表兄弟",1.05488561314921,-0.13543774748564,0.321154377707427,-0.160410812777858,-0.827855040792324
"姑表姐妹",-0.659592222831391,0.262717411489343,1.05016949314236,-0.602315728013174,0.415752032742089
"姑表姐弟",-0.481065055643102,-0.0510775724346548,1.01272519126255,-0.377052461687283,-0.342550046151089
"姨母-外甥",-0.0383112580591323,2.053546476019,-1.36606685452836,1.09103771924196,0.141978732261846
"姨母-外甥女",-2.92977650356173,1.23619278081683,1.28179698798769,2.13440864561185,-2.29610858628888
"姨父-外甥",-0.720965989678297,-0.249965146007377,-0.0937803848632049,0.496197826933494,-0.490319405665734
"姨表兄妹",-0.0697807651522349,-1.87465884592181,1.05397461872239,0.995825752458443,0.570626739065014
"姨表兄弟",-0.0580444532562546,1.98447861546687,1.34720544636682,-0.76327285241287,0.221937171365476
"姨表姐妹",-0.346809807080245,0.209985865961123,1.08543350261907,0.573595201336793,0.0388892714870857
"姨表姐弟",-0.144443823052849,-0.516440078199458,1.54138912790001,0.0853846316931063,-0.953193198543799
"婆婆-儿媳",0.152795850704649,0.198496097974863,-0.468587495872914,-0.94054252415753,-0.519427152395443
"岳母-女婿",0.706337672255392,0.562666157800675,-0.53228289767588,-0.518314839783058,-0.676856621412364
"岳父-女婿",1.02718044609851,0.284284114448706,-0.73312997264899,-0.151163767141125,-1.64399560895975
"干妈-干女儿",-1.69046337644157,0.860323516461973,-0.54128591794248,-1.0047099723106,0.666163088337085
"干爹-干儿子",-1.04739494404583,1.35299034274124,0.621986856688583,-0.771868764180498,2.15449175059414
"异父异母兄-异父异母妹",0.482349305176143,0.336361745083362,1.47243368716279,1.02141163644193,1.3134536556941
"异父异母姐-异父异母妹",0.855047969560645,0.56447091889968,0.14404340417202,-1.31226437165998,1.61077093179553
"异父异母姐-异父异母弟",-0.158607897073396,0.220957372277429,1.6881536648567,2.66421360127289,0.458122711018775
"弟媳-伯",-0.0931541648378871,0.595323644016278,0.241468336349424,-0.104995531500835,-1.17782169985912
"族伯叔-族侄",-0.892051977970034,0.821743238004568,-2.63022458618692,-0.552726181261325,0.87306329468684
"族姐-族妹",-0.0629387279316167,0.885490630754873,1.06884990048051,-1.403491541965,2.51293466496134
"曾祖母-曾孙女",-1.13673809599058,-1.40986663367025,-0.963639297353137,-2.0832465963752,0.0592005998185783
"曾祖母-曾孙子",-0.498756965692798,-0.454163838693712,-0.743080973285296,-0.697580389491197,0.575280856495686
"曾祖父-曾孙女",-0.501574347557759,-0.63987004234814,-0.830683318104765,0.0432694649027672,-0.367841493999711
"曾祖父-曾孙子",-0.90847733417342,-0.133222121354873,-0.77917412239487,0.159377649532104,-0.314296982872154
"母女",-0.920156972307767,-2.38646939736005,-1.03292282839076,-1.60721454008231,-0.149279405439608
"母子",0.0412492598843709,-1.16193204657503,-0.927279393852919,0.25821593549908,0.0876052537374261
