关系,互动强度,交配,亲密性,代沟评估,依恋,信任评估,信息传递,共有式分享,关系效价,具体性,冲突,可见性,同步性,品德评估,商品交换,对相关人员的重要性,对社会的重要性,平等性,强迫,持久性,服务交换,期待互惠性,正式性,爱的表达,独特性,理性,社会情感性,积极性,空间距离,职业性,联盟/联合组织,谈判,金钱交换
同母异父姐-同母异父妹,-0.5435034898041604,-0.24855564230785115,-0.23021830464678675,-1.2326385426034612,-0.7214695963168214,-1.3940397416214358,-1.0329885677783825,-1.5672687350932086,-2.5383723475392643,0.16055385163420585,2.307542235253878,-0.7155052411068182,0.03398461851518398,-2.0227200287777523,-0.682858614237376,-1.0426010532651948,-0.458693383865198,0.4195086522226065,0.8428555433464012,-1.777518991923701,-0.5627899782125152,0.0791815052443363,-1.057826477279355,-1.1873341732824927,-0.877611546972746,-0.05367571855040904,-0.8978913368265478,-1.6043500929104497,-0.4479973609655173,-0.2963749140020036,0.358751855407646,1.8756945165252568,-0.5928834274968553
同母异父姐-同母异父弟,0.30028218684331137,0.43272221850252574,-0.36315664616368365,-1.290255438673167,-0.2066586634512649,0.18548248852332297,0.17366563755763798,-0.22809881471496343,-1.850428737366455,0.12996032142350497,0.4558367456077297,-1.2567114466427403,-0.7991756384999134,-0.976185314500813,-0.11111182443403893,-0.8418060975045198,-0.8006903948697325,0.6065137843073415,0.4345001250042748,0.08005935263141839,-0.13484257389188214,0.6936499686546385,-0.16498442477190284,-1.021307488196002,0.06682343695827982,-0.24062876738496433,-0.20892917569326422,-0.8327636830669087,0.05691613250248103,0.607906006025736,0.17825788530286443,0.1558674723639126,-0.05433339051238986
同父异母兄-同父异母妹,-0.9453061929696229,-0.783845390087433,-1.0081537846345536,-1.285454030667358,-0.9653274066215588,-1.3160386438365095,-1.3052592602644588,-1.3495175285276402,-2.687116911900953,-0.3493383185441423,2.393668071981606,-2.0584984178070695,0.18546830160883804,-1.974043995555569,1.3132398273567312,-1.7007622971474077,-0.6395193896836876,-0.5986304002387285,2.5556796591703197,-0.8487298196461414,1.3094799156902543,-0.41425529113060344,-0.026656782834128548,-1.0162763765267142,-0.2389936054574808,0.346937957523638,-1.7290202931143182,-1.3716494296243027,0.15476758472496144,-0.8992288606871633,-0.689832161391561,0.9720565780676013,1.2521491066165913
同父异母兄-同父异母弟,-0.0010698405307856878,-0.5405318683694412,0.006116524716585537,-1.1174047504640494,0.09138977136563624,0.03923043017658605,1.120425090975131,-0.29342417668463394,0.808380350598728,-0.39012969215841004,-0.7642792747017478,-1.046242366712104,1.0943704001707624,0.5571097319979582,1.092565627783513,0.09523702937863031,0.36681664269747155,1.3545343126462814,-0.45026994807033227,-0.33629441425162565,0.18611797934859264,-0.39563503466362443,-0.2530111060050319,-0.3119207428264509,-0.17603127319541254,0.1599849086890827,-0.34016006352817535,-0.061177273223367835,1.829984446773824,1.2339466429680173,-0.05380579054614039,-0.36882552415988723,-0.2637695160063486
同父异母姐-同父异母妹,0.09938083526057985,1.0815582764171705,0.40985519154568,-1.1702202385279465,-0.4956753275161389,-0.8480320571269512,-0.438943420536034,-0.6962639088309351,-0.7286468144720536,-0.3493383185441423,1.0539328339947283,-0.8357732867814676,0.2022998219525775,-3.0449167264435997,0.7114011012479547,-0.4290609106631324,-0.7653113937313324,1.2021597605772378,0.46852974319945206,-1.3398137498158855,0.15045569565520667,0.46089676281740294,-0.2110936387511608,-0.35216963618075153,0.21073733927157925,0.41815816660346866,-0.3073523415694476,-1.1022065563456054,1.1724226878387565,-0.002676837411797642,-0.9133008862831954,1.6910803140446604,0.7534916649643083
堂伯-堂侄,0.05920056494403372,-0.637857277056638,0.6264954517954378,0.22218808315661204,0.06429445910955431,-0.04852080483145611,-0.29043213372544685,-0.5220629435784807,0.21340209315197378,0.7112373954268217,-0.7642792747017478,0.30677314712770115,0.9933812781083264,-0.9031712646675383,-0.5925828053210597,-0.0720921004219322,1.027224663947607,0.2740602161567015,-0.756536511826927,0.04803213979426116,0.07913112826843438,0.3305549675485508,-0.07695774353877374,-0.5534141029522556,1.0922099909405365,-0.8816106491034396,-0.5698141172392699,0.7104091366201731,-0.9881373772336085,-0.4354950555447328,1.390145970292112,-0.7186208551757538,0.3346194139763908
堂兄妹,1.867312729188616,0.2624027532999315,1.5127510619080837,-0.9013413902026524,0.172675708133882,1.1507460736117867,0.3407408352195485,1.0784084246784464,0.5108912218753509,-1.4914967797436418,-0.07527258087992521,-0.3547011040828702,1.5993160104829427,0.8491659313310576,0.24999141123122665,1.199609286062343,1.475358678367342,1.6454311847780914,-0.756536511826927,1.0408757377461355,-1.1512176591533856,-0.3118438805622196,-1.7117389664397427,0.38237266753523746,0.012855723590792626,-1.25551674677255,1.0705719806971195,1.0778312365456688,0.538345277437084,-0.06450801143078833,2.13790670358335,-0.8060696879297204,-0.892077892488225
堂兄弟,0.5112286060051793,-0.3215496988232487,0.5969535981250162,-1.2614469906383141,-0.45051647375600223,-0.2825240981862352,0.5263799437327825,-0.4567375816088102,-0.7162514341085797,-0.11478792026210209,0.6711513374270492,0.3669071699650258,-0.5719501138594323,-0.2703828327791564,0.18980753862034905,0.06177120341851781,-0.19924737551693042,0.8766323084297365,0.06017432485732569,-1.0408930966690848,-1.2047110846934648,1.028814585060258,0.9290614705541301,-0.5836007729679811,-0.25698284324664333,-0.05367571855040904,-0.9306990587852755,-0.24488832318611567,-1.3169182567011424,0.39922579371164224,1.7253490576295634,0.768009301641679,0.3046999674772538
堂姐夫-堂内弟,-0.7243147062286186,-0.8081767422592322,-0.8801390853960606,-0.4548104456624319,-1.0195180311337226,-0.3117745098555826,-1.0329885677783825,-0.7833643914571626,-0.8649959984702682,0.894798576691027,-0.33365009106310867,0.33684015854636346,-1.1526375657184396,0.021673366553942863,-0.5624908690156208,0.22910033321908033,0.36681664269747155,-0.30773352810691845,-1.2669807847545849,-0.4003488399259401,-1.445431499623821,0.19090304404620942,0.023644177870516647,-0.5534141029522556,0.7684037107356133,-0.8549030706985031,-0.3729677854869031,0.19601819672447915,-0.14270083003137876,-1.362962665829594,-0.8789210824537131,-1.0101169643556425,-0.6527223204951292
堂姐妹,0.4057553964242453,-0.7351826857438346,0.40493154926727626,-0.6708738059238288,-0.04408678991477338,0.30248413520071255,1.2503724669343947,-0.37508087914672206,0.7154149978726726,0.6347535699000695,-0.33365009106310867,-0.21939955269888972,-0.5088319125704097,1.0925460974419736,0.4756809335220176,0.46336111493986787,0.508332647251072,1.593485314754554,-1.0457882664859333,0.8326988543046134,-0.6029100473675745,0.03728592819363388,-0.7937464335799678,0.3219993275037863,-0.06809584646043816,-0.7747803354836936,0.9557449538415722,0.8941201865829209,-0.1544430042980764,-0.9456022412014065,0.6423852370008741,-1.2578886571585481,-0.8322389994899511
